SampleType   N2OgasAge  N2O(ppb)  PublicationStatus
DSS              13.3    264.2    MacFM2004/2006
DSS              29.5    263.1    MacFM2004/2006
DSS              56.0    264.2    MacFM2004/2006
DSS             136.0    266.1    MacFM2004/2006
DSS             168.3    265.1    MacFM2004/2006
DSS             227.9    268.3    MacFM2004/2006
DSS             302.3    262.3    MacFM2004/2006
DSS             329.2    261.4    MacFM2004/2006
DSS             364.6    263.8    MacFM2004/2006
DSS             428.4    263.5    MacFM2004/2006
DSS             499.8    261.7    MacFM2004/2006
DSS             536.7    260.2    MacFM2004/2006
DSS             572.0    264.7    MacFM2004/2006
DSS             595.6    261.1    MacFM2004/2006
DSS             632.0    262.3    MacFM2004/2006
DSS             667.9    261.2    MacFM2004/2006
DSS             799.2    270.7    MacFM2004/2006
DSS             857.3    269.4    MacFM2004/2006
DSS             897.4    272.1    MacFM2004/2006
DSS             968.2    266.8    MacFM2004/2006
DSS            1105.4    268.3    MacFM2004/2006
DSS            1207.4    267.7    MacFM2004/2006
DSS            1257.6    267.6    MacFM2004/2006
DSS            1330.1    269.7    MacFM2004/2006
DSS            1411.3    266.2    MacFM2004/2006
DSS            1449.1    267.0    MacFM2004/2006
DSS            1458.9    266.5    MacFM2004/2006
DSS            1501.5    268.5    MacFM2004/2006
DSS            1529.7    272.7    MacFM2004/2006
DSS            1535.3    270.6    MacFM2004/2006
DSS            1549.7    270.1    MacFM2004/2006
DSS            1560.4    270.1    MacFM2004/2006
DSS            1573.0    269.6    MacFM2004/2006
DSS            1591.1    268.3    MacFM2004/2006
DSS            1610.4    266.2    MacFM2004/2006
DSS            1666.7    267.0    MacFM2004/2006
DSS            1681.9    270.1    MacFM2004/2006
DSS            1722.9    269.8    MacFM2004/2006
DSS            1749.2    270.9    MacFM2004/2006
DSS            1762.8    274.8    MacFM2004/2006
DSS            1763.5    273.8    MacFM2004/2006
DSS            1794.4    271.9    MacFM2004/2006
DSS            1796.1    272.3    MacFM2004/2006
DSS            1799.3    272.7    MacFM2004/2006
DSS            1814.2    271.3    MacFM2004/2006
DSS            1836.3    268.1    MacFM2004/2006
DSS            1900.8    277.0    MacFM2004/2006
DSS            1904.8    279.7    MacFM2004/2006
DSS            1927.2    283.1    MacFM2004/2006
DSS            1948.0    288.0    MacFM2004/2006
DSS            1949.3    288.0    MacFM2004/2006
DSS            1960.7    291.1    MacFM2004/2006
DE08-2         1833.0    273.1    MacFM2004/2006
DE08-2         1935.0    288.7    MacFM2004/2006
DE08-2         1941.0    289.9    MacFM2004/2006
DE08-2         1949.0    290.3    MacFM2004/2006
DE08-2         1970.7    296.4    MacFM2004/2006
DE08-2         1972.0    298.4    MacFM2004/2006
DE08-2         1974.0    297.1    MacFM2004/2006
